MOVIE_ID,NAME,ALIAS,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,DOUBAN_VOTES,GENRES,IMDB_ID,LANGUAGES,MINS,OFFICIAL_SITE,REGIONS,RELEASE_DATE,SLUG,STORYLINE,TAGS,YEAR,ACTOR_IDS,DIRECTOR_IDS
26670818,情定河州,情定临夏天使然,王博/吴佳尼/王姬/高丽雯/郭力行/尹哲/沈丹萍/罗中旭/臧金生/罗刚/居文沛/阎青妤,,尹哲,0,0,剧情/爱情,,汉语普通话,0,,中国大陆,,RmNQQeyzb,电影《情定临夏天使然》讲述临夏新一代青年人发奋图强、借助国家一带一路战略励志创业的故事。,甘肃/临夏/伊斯兰/中国/2016/中国大陆/烂片/宣传伊斯兰教的电影,2049,王博:|吴佳尼:1313262|王姬:1275275|高丽雯:1325661|郭力行:1354456|尹哲:1326188|沈丹萍:1009141|罗中旭:1328354|臧金生:1045901|罗刚:1315029|居文沛:1275019|阎青妤:1317117,尹哲:1326188
25815002,我不是李小龙,,谷尚蔚/吴孟达/曾志伟/杜海涛,,洪金宝,0,0,动作/爱情,,汉语普通话,0,,中国大陆,,EZnVfiNYf,桀骜不驯的如龙武功高强，在一场比赛中，被打成重伤，被诊今生不能再用功夫。女友荆兰为激发他重新振作，按照他的原型制造了一个机器人，如龙能否恢复武功，他和机器人到底哪个功夫高强，又能否在机器人中迷失自己？,穿越/华语,2049,谷尚蔚:1330813|吴孟达:1016771|曾志伟:1002862|杜海涛:1313024,洪金宝:1055887
26392287,曼哈顿中国女孩,,,,,0,0,剧情,,英语 / 汉语普通话,0,,中国大陆 / 美国,,NuUvEJnzb,平民女孩李莉只身初入曼哈顿求学，在历经迷失与困惑之后，凭借努力与善良收获了事业上的成功，同时帮助在美华侨保卫中国城、获得爱情，完成了生命中一次华丽的蜕变。,,2049,,
26695995,绿毛水怪,,,,梁栋/吴国墉,0,0,爱情,,汉语普通话,0,,中国大陆,,rqaqyb6ea,王小波经典中篇小说《绿毛水怪》将改编电影。《绿毛水怪》是王小波早期手稿作品，以天马行空的想象，极具魔幻色彩的情感脉络，独树一帜的批评、反讽，受到广大书迷的喜爱。王小波曾创作电影剧本《东宫西宫》，此后尚未有作品改编成电影。据悉，李银河将担任《绿毛水怪》电影版的文学顾问。,小波/王小波/爱情/小说改编/文学改编/剧情/中国/2017,2049,,梁栋:|吴国墉:
26392292,为了祖国,,,,,0,0,剧情/历史,,汉语普通话 / 韩语 / 日语,0,,中国大陆 / 韩国,,Inrqy7uib,1932年上海虹口爆炸案后，韩国国父金九在褚辅成、朱爱宝这些普通群众的帮助下逃到嘉兴避难。金九和韩国临时政府要员与中国民众合力抗击日军。最终金九一行人在中国政府无私帮助下返回韩国。,,2049,,
6389523,天地无用,,禅婵/梁宸/张凡夕 François Chang,,张凡夕,0,0,剧情/爱情,,汉语普通话 / 法语,0,,中国大陆 / 法国,,7IRuUJZRe,张凡夕筹划中电影长片。,张凡夕/独立电影/人性/独立/上映,2046,禅婵:|梁宸:1314565|张凡夕 François Chang:,张凡夕:1275255
26266621,看不见的脸,見えない貌,,,,0,0,悬疑,,汉语普通话,0,,中国大陆,,AIvUfUfib,日本推理作家东野圭吾的小说在其本国不断被搬上大银幕，如今，中国电影公司也在推理小说领域跃跃欲试。据悉，日本当代小说家夏树静子的名作《看不见的脸》将被搬上中国大银幕，其电影版权已被曾推出过《云图》新原野电影购得版权，并即将于2015年春开拍。,悬疑/漫画小说真人版/日本/推理/日本电影/小说改编,2045,,
26647079,你无法抵达的时间,,,,,0,0,科幻,,汉语普通话,0,,中国大陆,,e62r6IBea,科幻作家潘海天创办的上海竺灿文化有限公司先后开始了三个项目，潘海天本人的《王二大爷的战争》，著名科幻作家王晋康的长篇小说《逃出母宇宙》以及青年科幻作家夏笳的小说《你无法抵达的时间》都将被改编为电影。,科幻/夏笳/中国,2035,,
26277337,黑夜之神,包公：黑夜之神,,,,0,0,动作/悬疑/古装,,汉语普通话,0,,中国大陆 / 中国香港,,RAYJBmrqa,曾出品《西游记之大闹天宫》的星皓影业有限公司推出了《包公：黑夜之神》讲述了包拯率一众江湖英雄，直捣襄阳王老巢，救国家于危难的故事。,,2035,,
26378809,传送点,,,,辛成江,0,0,科幻,,汉语普通话,0,,中国大陆,,Be6IRuMmb,在艺恩汇第二期电影创投沙龙上，还展示了四个电影项目，导演辛成江的《传送点》，讲述了寻宝游戏中虚拟世界与真实世界的故事，世界观颇为宏大。,,2035,,辛成江:1349576
26647075,王二大爷的战争,,,,,0,0,科幻,,汉语普通话,0,,中国大陆,,7AeqMeM2b,科幻作家潘海天创办的上海竺灿文化有限公司先后开始了三个项目，潘海天本人的《王二大爷的战争》，著名科幻作家王晋康的长篇小说《逃出母宇宙》以及青年科幻作家夏笳的小说《你无法抵达的时间》都将被改编为电影。,,2035,,
27148159,致命复活,,,,,0,0,科幻,,汉语普通话,0,,中国大陆,,3jFvMm7Qe,身为顶级计算机专家的林栋为了营救深陷危难的妻子苏平，卷入一场危及全人类的灾难当中，不得不凭一己之力，对抗人类有史以来最强大的计算机。,,2035,,
26528269,行星绿谷,,,,韦炜华,0,0,剧情/科幻/动画,,汉语普通话,120,,中国大陆,,A27YB2Vva,"《行星绿谷》（Planet Green Valley）是上海欧映文化传播有限公司投资制作的科幻动画电影,主要讲述了未来人类开发和探索宇宙的故事。",科幻/良心/国产/动画/太空科幻/国漫/行星绿谷/动漫,2035,,韦炜华:
26268576,Alpha,,,,,0,0,科幻,tt4216790,英语,0,,美国,,6YvizrqUf,据外媒THR报道，狮门影业已计划拍摄一部科幻惊悚电影《Alpha》，故事来自威尔逊的一个创意，布拉德·皮特将于他Plan B公司的合伙人迪·加纳和Jeremy Kleiner一同完成影片的制片工作。电影的细节剧情还处于保密阶段，大体内容是个科幻求生的故事。威尔逊将根据自己的想法执笔剧本。新人Anthony Scott Burns将指导这部电影，这也是他的导演处女座。至今，布拉德·皮特表示暂不参演电影《Alpha》,2017,2035,,
26680414,我和僵尸有个约会,,,,,0,0,科幻,,汉语普通话,0,,中国大陆,,Yn7QYnNAe,《我和僵尸有个约会》网络大电影改编自同名电视剧，12月中旬开拍。目前已进入招聘演员阶段。,大陆,2035,,
3317352,It Is What It Is,,奥莉薇·瑟尔比/西格妮·韦弗/埃文·蕾切尔·伍德,,苏珊娜·福格尔,0,0,爱情,tt0878813,,0,,美国,,qijbybaib,,爱情/2033年上映/美国/喜剧/2022,2033,奥莉薇·瑟尔比:1027210|西格妮·韦弗:1053569|埃文·蕾切尔·伍德:1035652,苏珊娜·福格尔:1370671
26347315,最寒冷的冬天是旧金山的夏季,,,,,0,0,爱情,,汉语普通话,0,,中国大陆,,bERIBmjra,首部旅美新留学生的浪漫爱情故事,书,2030,,
26386532,小情歌,,,,,0,0,喜剧/爱情,,汉语普通话,0,,中国大陆,,EfUvyFBea,歌曲改编电影依然没完没了，继《小苹果》《栀子花开》《一生有你》《睡在我上铺的兄弟》《她来听我的演唱会之后》，苏打绿的《小情歌》也要被搬上大银幕，影片由合一影业出品。,爱情/中国,2030,,
