PERSON_ID,NAME,SEX,NAME_EN,NAME_ZH,BIRTH,BIRTHPLACE,CONSTELLATORY,PROFESSION,BIOGRAPHY
1054424,刘德华,男,Lau Tak Wah (本名) / Wah Jai (昵称),刘福荣(幼时学名) / 华仔(昵称),1961/9/27,"香港,新界",天秤座,演员 / 制片人 / 配音 / 导演 / 摄影,刘德华，著名演员和歌手。1990年代被封为香港“四大天王”之一，亦是大中华地区极具代表性的艺人之一。 刘德华是个多线发展的艺人：作为歌手，他是吉尼斯世界纪录大全中，获奖最多的香港歌手；电影方面他曾三度夺得香港电影金像奖最佳男主角、以及获得两座台湾金马奖影帝，截止2010年参与出演的电影已经超过140部。
1422441,杰夫·陈,男,,,,,,导演 / 编剧,
1422420,诺厄·勒·赫罗斯,男,,,,,,演员,
1422421,穆罕默德·卡里姆,男,,,1980/1/2,,,演员,
1422427,本·迪基,男,,,,,,演员,
1422430,车成德,女,,,1985/1/14,韩国,,导演 / 编剧,
1422399,罗伯托·迪·菲奥,男,,,,,,导演 / 编剧,
1422395,达丽娜·奥乔迪,女,,,1968/2/25,"黎巴嫩,贝鲁特",,演员,
1422193,钱思剑,男,,,,"中国,上海",,演员,钱思剑，著名沪剧演员，国家一级演员。上海人，1963年生，民进会员。上海市非物质文化遗产项目沪剧代表性传承人。1982年进崇明沪剧团，1993年调入上海沪剧院。曾先后主演《家庭公案》、《野杨梅》、《王孝和》、《碧落黄泉》、《夜半歌声》、《方桥情缘》、《我心握你手》、《心有泪千行》、《红灯记》、《生死对话》、《瑞珏》、《十六铺人家》和《军礼》等剧目，并在《雷雨》、《金大班的最后一夜》等剧目中出演重要角色。他嗓音明亮，润腔流畅，韵味醇厚，在演绎沪剧“袁（...
1422190,朱俭,男,,,,"中国,上海",,演员,著名沪剧演员，国家一级演员。山东人，1975年生。1987年考入上海戏曲学校沪剧班，1992年毕业后进上海沪剧院，2007年拜著名沪剧表演艺术家、“王（盘声）派”传人孙徐春为师。曾先后主演《杨乃武与小白菜》、《碧落黄泉》、《夜半歌声》、《我心握你手》、《永恒的旋律》、《血染姐妹花》、《方桥情缘》、《董梅卿》、《啼笑因缘》、《芦荡火种》、《石榴裙下》、《大红喜事》、《一文钱》、《日出》、《胡锦初借妻》、《陆雅臣卖娘子》、《家》、《瑞珏》、《雷雨》、《人间至...
